Model,Organisation,Launch Date
ChatGPT 3.5,OpenAI,2022-11-30
Bing Chat,Microsoft,2023-02-07
LLaMA,Meta,2023-02-24
LaMDA,Google,2021-05-18
GPT 4,OpenAI,2023-03-14
Claude,Anthropic,2023-03-14
Copilot,Microsoft,2023-09-21
PaLM 2,Google,2023-05-10
LLaMA 2,Meta,2023-07-18
Claude 2,Anthropic,2023-07-11
GPT 4 Turbo,OpenAI,2023-11-06
Gemini,Google,2023-12-06
GPT 4.1,OpenAI,2025-04-14
Gemini 1.5,Google,2024-02-15
Sora,OpenAI,2024-02-15
Grok,xAI,2023-11-04
Claude 3,Anthropic,2024-03-04
LLaMA 3,Meta,2024-04-18
GPT-4o,OpenAI,2024-05-13
Claude 3.5,Anthropic,2024-06-20
LLaMA 3 (405B),Meta,2024-07-23
Phi 4,Microsoft,2024-12-12
o1,OpenAI,2024-09-12
DeepSeek V3,DeepSeek,2024-12-26
o3,OpenAI,2024-12-20
Gemini 2,Google,2024-12-11
DeepSeek R1,DeepSeek,2025-01-20
o4,OpenAI,2025-04-16
LLaMA 4,Meta,2025-04-05
Claude 4,Anthropic,2025-05-22
Google Veo,Google,2024-05-14
Grok 3,xAI,2025-02-17
